form	lemma	POS	morph
རྣམ་དག་	རྣམ་དག་	ADJ
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ངང་	ངང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ལྷོད་	ལྷོད་	NO_POS
ཀྱི་	གི་	PART
ཀློད་		NON_WORD
ཙ་ན་	ཙ་ན་	NO_POS
། །		PUNCT
རྟོག་པ་	རྟོག་པ་	VERB
ཙམ་	ཙམ་	DET
ཡང་	ཀྱང་	PART
འཆར་བ་	འཆར་བ་	VERB
ང་	ང་	OTHER
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
དེ་	དེ་	DET
ན་	ན་	ADP
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འགལ་ཟླ་	འགལ་ཟླ་	NO_POS
ཡང་	ཀྱང་	PART
། །		PUNCT
དབྱེ་བ་	དབྱེ་བ་	VERB
རྡུལ་	རྡུལ་	NOUN
ཙམ་	ཙམ་	DET
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
གི་	གི་	PART
།		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
སྨོས་ཅི་	སྨོས་ཅི་	NO_POS
འཚལ་	འཚལ་	VERB
། །		PUNCT
ཀྱེ་	ཀྱེ་	INTJ
ཧོ་	ཧོ་	NO_POS
ད་ནི་	ད་ནི་	NO_POS
འགྲོ་	འགྲོ་	VERB
འམ་	གམ་	PART
འདུག་	འདུག་	VERB
ན་	ན་	ADP
ཡང་	ཀྱང་	PART
། །		PUNCT
གནས་	གནས་	NOUN
དེ་	དེ་	DET
དགོན་པ་	དགོན་པ་	NOUN
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
དབུ་མ་	དབུ་མ་	PROPN
འི་	གི་	PART
ནང་	ནང་	NOUN
དུ་	ལ་	PART
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
གནས་པ་	གནས་པ་	VERB
དེ་	དེ་	DET
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
འི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
དེ་	དེ་	DET
ཡི་	ཡི་	ADP
ངང་	ངང་	NOUN
དུ་	ལ་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
དེ་	དེ་	DET
། །		PUNCT
དབྱེ་བ་	དབྱེ་བ་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ཡིན་	ཡིན་	NO_POS
ནོ་	གོ་	PART
བུ་	བུ་	NOUN
། །		PUNCT
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཤེས་པ་	ཤེས་པ་	VERB
འི་	གི་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
ན་	ན་	ADP
། །		PUNCT
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
བརྩེ་	བརྩེ་	NO_POS
ཡང་	ཀྱང་	PART
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
འབའ་ཞིག་	འབའ་ཞིག་	NO_POS
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
ས་	གིས་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ས་	གིས་	PART
མ་	མ་	PART
ཁྱབ་	ཁྱབ་	VERB
མེད་	མེད་	VERB
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ཁོ་ན་	ཁོ་ན་	DET
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
ཙམ་	ཙམ་	DET
ཞིག་	ཅིག་	PART
ཞི་གནས་	ཞི་གནས་	NOUN
འཚོལ་བ་	འཚོལ་བ་	VERB
འང་	ཀྱང་	PART
བསྒོམ་	བསྒོམ་	VERB
། །		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
འདི་	འདི་	DET
ཡི་	ཡི་	ADP
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
འདི་	འདི་	DET
ཡི་	ཡི་	ADP
རང་བཞིན་	རང་བཞིན་	NOUN
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
དེས་ན་	དེས་ན་	NO_POS
གནས་	གནས་	NOUN
དོན་སྙིང་	དོན་སྙིང་	NOUN
རྗེར་		NON_WORD
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ལ་	ལ་	ADP
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
མཐའ་	མཐའ་	NOUN
ཡ་		
ཀྱང་	ཀྱང་	PART
། །		PUNCT
བརྒྱ་	བརྒྱ་	NUM
ཕྲག་	ཕྲག་	NUM
ངོ་	ངོ་	NOUN
ཀྱི་	གི་	PART
བཅ་	བཅའ་	VERB
ར་	ལ་	PART
ཕུ་	ཕུ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འདི་	འདི་	DET
། །		PUNCT
ཚེ་	ཚེ་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
ཉིན་	ཉིན་	NOUN
བཤད་	བཤད་	VERB
སྙིང་གཏམ་	སྙིང་གཏམ་	NOUN
ཐ་མ་	ཐ་མ་	ADJ
ར་	ལ་	PART
བསྟེན་	བསྟེན་	VERB
། །		PUNCT
ད་ནི་	ད་ནི་	NO_POS
ཁོ་བོ་	ཁོ་བོ་	PRON
མི་	མི་	PART
སྡོད་	སྡོད་	VERB
བོད་	བོད་	PROPN
དུ་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
། །		PUNCT
འཕྲེང་	འཕྲེང་	NO_POS
སེམས་	སེམས་	NOUN
དག་	དག་	DET
ཀྱང་	ཀྱང་	PART
རྫ་	རྫ་	NOUN
དང་ལ་	དང་ལ་	NO_POS
ཆ་	ཆ་	NOUN
འདྲ་	འདྲ་	VERB
། །		PUNCT
ཚེ་	ཚེ་	NOUN
འདི་	འདི་	DET
འི་	གི་	PART
འདུ་བྱེད་	འདུ་བྱེད་	NOUN
མི་རྟག་	མི་རྟག་	OTHER
གློག་	གློག་	NOUN
ལྟ་	ལྟ་	OTHER
གཡོ་	གཡོ་	VERB
། །		PUNCT
ལུས་སེམས་	ལུས་སེམས་	NOUN
འདུ་བ་	འདུ་བ་	VERB
འང་	ཀྱང་	PART
མགྲོན་ཁང་	མགྲོན་ཁང་	NOUN
མགྲོན་པོ་	མགྲོན་པོ་	OTHER
འདྲ་	འདྲ་	VERB
"།

།"		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
དེ་	དེ་	DET
ཕྱོགས་	ཕྱོགས་	NOUN
འདི་	འདི་	DET
ར་	ལ་	PART
སྡོད་པ་	སྡོད་པ་	VERB
སྲིད་པ་	སྲིད་པ་	VERB
བ་	བ་	ADP
། །		PUNCT
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
ཐ་མ་	ཐ་མ་	ADJ
བྲལ་བ་	བྲལ་བ་	VERB
འདུས་བྱས་	འདུས་བྱས་	NOUN
ཆོ་	ཆོ་	NOUN
། །		PUNCT
གདམས་ངག་	གདམས་ངག་	NOUN
སེམས་	སེམས་	NOUN
ལ་	ལ་	ADP
འཆང་	འཆང་	NO_POS
ན་	ན་	ADP
བུ་	བུ་	NOUN
ཡིན་	ཡིན་	NO_POS
ཨ་	ཨ་	X
། །		PUNCT
བསླབ་པ་	བསླབ་པ་	VERB
འི་	གི་	PART
ངག་	ངག་	NOUN
ལ་	ལ་	ADP
ཉན་	ཉན་	VERB
ན་	ན་	ADP
ཡུན་	ཡུན་	NOUN
དུ་	ལ་	PART
དགེ་	དགེ་	NOUN
།		PUNCT
རིང་པོ་	རིང་པོ་	ADJ
ར་	ལ་	PART
མི་	མི་	PART
ཐོགས་	ཐོགས་	VERB
བྱམས་པ་	བྱམས་པ་	PROPN
འི་	གི་	PART
ཞབས་དྲུང་	ཞབས་དྲུང་	OTHER
དུ་	ལ་	PART
། །		PUNCT
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
ཚིག་དོན་	ཚིག་དོན་	NOUN
རྣམས་	རྣམས་	DET
། །		PUNCT
ཡོངས་སུ་	ཡོངས་སུ་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ཕྱི་	ཕྱི་	OTHER
དགའ་ལྡན་	དགའ་ལྡན་	PROPN
འགྲོ་	འགྲོ་	VERB
། །		PUNCT
ཁྱོད་	ཁྱོད་	PRON
ཀྱང་	ཀྱང་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འདི་	འདི་	DET
འི་	གི་	PART
འོག་རོལ་	འོག་རོལ་	NOUN
ཏུ་	ལ་	PART
། །		PUNCT
དེ་	དེ་	DET
དྲུང་	དྲུང་	NOUN
སྙེགས་	སྙེགས་	VERB
ན་	ནས་	PART
གསུང་གླེང་	གསུང་གླེང་	NOUN
བྱེད་པ་	བྱེད་པ་	VERB
ར་	ལ་	PART
སྨོན་	སྨོན་	VERB
། །		PUNCT
ཕྱོགས་	ཕྱོགས་	NOUN
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
སྲ་	སྲ་	NOUN
བཅའ་	བཅའ་	VERB
མ་ལུས་པ་	མ་ལུས་པ་	OTHER
། །		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
རྣམས་	རྣམས་	DET
ལ་	ལ་	ADP
བརྩེ་བ་	བརྩེ་བ་	VERB
ར་	ལ་	PART
དགོངས་	དགོངས་	VERB
སུ་	སུ་	ADP
གསོལ་	གསོལ་	VERB
། །		PUNCT
དུས་གསུམ་	དུས་གསུམ་	OTHER
འཁོར་	འཁོར་	NOUN
ཚེ་	ཚེ་	NOUN
སྐྱེ་གནས་	སྐྱེ་གནས་	NOUN
ཐམས་ཅད་	ཐམས་ཅད་	DET
དུ་	ལ་	PART
། །		PUNCT
སྒོ་གསུམ་	སྒོ་གསུམ་	OTHER
དགེ་བ་	དགེ་བ་	VERB
འི་	གི་	PART
ལ་	ལ་	ADP
ས་	གིས་	PART
ལ་	ལ་	ADP
བཀོལ་བ་	བཀོལ་བ་	VERB
རྣམས་	རྣམས་	DET
། །		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
མ་	མ་	PART
གྱུར་	གྱུར་	VERB
བ་	བ་	NOUN
། །		PUNCT
གང་	གང་	NO_POS
གི་	གི་	PART
ལུས་	ལུས་	NOUN
སུ་	སུ་	ADP
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འཛིན་	འཛིན་	VERB
ན་	ན་	ADP
འང་	ཀྱང་	PART
། །		PUNCT
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཕྱིན་	ཕྱིན་	VERB
བཅུ་	བཅུ་	NUM
སྒོ་གསུམ་	སྒོ་གསུམ་	OTHER
འཁོར་བ་	འཁོར་བ་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
མཉེས་	མཉེས་	VERB
ཤིང་	ཅིང་	PART
འཕྲིན་ལས་	འཕྲིན་ལས་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
ར་	ལ་	PART
ཤོག་	ཤོག་	VERB
།		PUNCT
ཅེས་པ་	ཅེས་པ་	PART
འདི་	འདི་	DET
འགྲོ་བ་	འགྲོ་བ་	VERB
འི་	གི་	PART
མགོན་པོ་	མགོན་པོ་	NOUN
བོད་	བོད་	PROPN
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
དུས་	དུས་	NOUN
ལམ་	གམ་	PART
དུ་	ལ་	PART
འཇུག་པ་	འཇུག་པ་	VERB
ན་	ན་	ADP
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
གཙུག་	གཙུག་	NOUN
གི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
ལ་	ལ་	ADP
སྤྱི་ཆོས་	སྤྱི་ཆོས་	NO_POS
སུ་	སུ་	ADP
གདམས་པ་	གདམས་པ་	VERB
ལགས་སོ་	ལགས་སོ་	NO_POS
། །		PUNCT
འདི་	འདི་	DET
འི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཇོ་བོ་	ཇོ་བོ་	NOUN
ན་	ནས་	PART
མཁན་པོ་	མཁན་པོ་	NOUN
རྨ་	རྨ་	NOUN
སྟོན་	སྟོན་	VERB
གྱི་	གི་	PART
བ་	བ་	NOUN
སྔར་བཞིན་	སྔར་བཞིན་	NO_POS
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ཇོ་	ཇོ་	NO_POS
ལྡན་	ལྡན་	VERB
ཀླུང་ཤོད་པ་	ཀླུང་ཤོད་པ་	NO_POS
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
བཤེས་གཉེན་	བཤེས་གཉེན་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
བུདྡྷཱ་		NON_WORD
རཏྣ་		NON_WORD
ལ་	ལ་	ADP
། །		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ཀཱིརྟི་		NON_WORD
ཤཱི་		NON_WORD
ལ་ལ་	ལ་ལ་	PRON
། །		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
བཟང་པོ་	བཟང་པོ་	ADJ
ལ་	ལ་	ADP
། །		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
བསོད་ནམས་	བསོད་ནམས་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
ལ་	ལ་	ADP
།		PUNCT
དེ་	དེ་	DET
ས་	གིས་	PART
ཆོས་རྗེ་	ཆོས་རྗེ་	NOUN
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
རྒྱལ་མཆོག་	རྒྱལ་མཆོག་	OTHER
ལ་	ལ་	ADP
འོ་	གོ་	PART
།།		PUNCT
		
ཇོ་བོ་	ཇོ་བོ་	NOUN
རྗེ་	རྗེ་	NO_POS
།		PUNCT
རྣམ་དག་	རྣམ་དག་	ADJ
གཙུག་ནོར་	གཙུག་ནོར་	NO_POS
ལ་	ལ་	ADP
ཇོ་བོ་	ཇོ་བོ་	NOUN
ས་	གིས་	PART
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
།		PUNCT
		
